,source,text,date,compound_score,pos_score,neu_score,neg_score
31,CNN,"JUST IN: Noor Salman, the widow of the Pulse nightclub gunman, was found not guilty of charges in connection with h… https://t.co/LeDjGXUeP1",Fri Mar 30 15:01:07 +0000 2018,0.4847,0.172,0.828,0.0
32,CNN,"At least eight Palestinians were killed and more than 1,000 injured in confrontations with Israeli security forces… https://t.co/dnAn5jY4N3",Fri Mar 30 14:51:02 +0000 2018,-0.8207,0.091,0.531,0.378
33,CNN,"JUST IN: A US service member was killed in an improvised explosive device attack in Syria on Thursday, an official… https://t.co/zfLUB6dPzd",Fri Mar 30 14:39:44 +0000 2018,-0.8225,0.0,0.703,0.297
34,CNN,Coffee may come with a cancer warning label in California https://t.co/x4VA27Gloy https://t.co/ycwyKtFjd7,Fri Mar 30 14:28:14 +0000 2018,-0.7783,0.0,0.57,0.43
35,CNN,New footage shows Kim Jong Un holding court inside his armored train https://t.co/jirt7bIM1q https://t.co/Izv0nlm0s7,Fri Mar 30 14:21:15 +0000 2018,0.0,0.0,1.0,0.0
36,CNN,SpaceX is launching one of its Falcon 9 rockets and is expected to make an experimental attempt to guide the rocket… https://t.co/CCpVW3Voo7,Fri Mar 30 14:09:04 +0000 2018,0.0,0.0,1.0,0.0
37,CNN,"Trump and ""Roseanne"" are making a conservative case for representation in media | Analysis by Hunter Schwarz… https://t.co/asAl350Eta",Fri Mar 30 13:59:57 +0000 2018,0.0,0.0,1.0,0.0
38,CNN,Two Baton Rouge police officers involved in the 2016 shooting death of Alton Sterling are expected to learn today w… https://t.co/h6e0RLJGap,Fri Mar 30 13:46:48 +0000 2018,-0.5994,0.0,0.837,0.163
39,CNN,China says a gang used drones to smuggle almost $80 million worth of smartphones https://t.co/689tFCKGZ6,Fri Mar 30 13:36:09 +0000 2018,-0.2415,0.101,0.739,0.16
40,BBC News (World),Parkland student David Hogg rejects Fox News host's apology https://t.co/bt9Eu2uCbB,Fri Mar 30 16:48:14 +0000 2018,-0.4588,0.097,0.645,0.258
41,BBC News (World),Kosovo security chiefs sacked after six Turks deported https://t.co/ECtnW0DivL,Fri Mar 30 16:46:04 +0000 2018,0.34,0.231,0.769,0.0
42,BBC News (World),Noor Salman: Pulse nightclub shooter's widow not guilty https://t.co/afpEyQwyDJ,Fri Mar 30 14:35:32 +0000 2018,0.3252,0.226,0.774,0.0
43,BBC News (World),Vatican: Pope did not say there is no hell https://t.co/k9htWRJoNF,Fri Mar 30 13:43:56 +0000 2018,-0.7783,0.0,0.541,0.459
44,BBC News (World),Scammers impersonate French first lady Brigitte Macron https://t.co/SE4Wy6tWPB,Fri Mar 30 13:41:07 +0000 2018,0.0,0.0,1.0,0.0
45,BBC News (World),Lindsay Lohan loses GTA V privacy case appeal https://t.co/es4JwTwbFC,Fri Mar 30 13:01:35 +0000 2018,-0.3182,0.0,0.753,0.247
46,BBC News (World),Syria war: Turkey's Erdogan rejects French mediation offer https://t.co/aPHKNjOvSs,Fri Mar 30 12:56:56 +0000 2018,-0.7964,0.0,0.496,0.504
47,BBC News (World),Kim Jong-un visit: What else crosses the China-North Korea border? https://t.co/lPmI1xe0LS,Fri Mar 30 12:54:35 +0000 2018,0.0,0.0,1.0,0.0
48,BBC News (World),"China's 'Jack the Ripper', Gao Chengyong, sentenced to death https://t.co/e8NAzpiKr2",Fri Mar 30 12:21:15 +0000 2018,-0.6124,0.0,0.615,0.385
49,BBC News (World),Test-launch footage of Russian ballistic missile Satan 2 https://t.co/X7CXi0R8Ss,Fri Mar 30 12:14:19 +0000 2018,0.0,0.0,1.0,0.0
50,BBC News (World),Spy poisoning: Russia expels 'unfriendly' Western diplomats https://t.co/BKgQvPNzfc,Fri Mar 30 12:04:18 +0000 2018,-0.7506,0.0,0.484,0.516
51,BBC News (World),"Coffee sold in California must carry cancer warning, judge rules https://t.co/TcX5BjGb8o",Fri Mar 30 11:04:58 +0000 2018,-0.7783,0.0,0.57,0.43
